source,target,weight
0,633,0
0,1862,0
0,2582,0
0,2212,1
1,2,0
1,652,0
1,654,0
2,1986,0
2,332,0
2,1666,0
2,1454,0
3,2544,0
4,2176,0
4,1016,0
4,1761,0
4,1256,0
4,2175,0
5,1629,0
5,2546,0
5,1659,0
6,1416,0
6,1602,0
6,1042,0
6,373,0
7,208,0
7,1869,1
8,281,0
8,1996,0
8,269,0
9,2614,0
9,723,0
10,476,0
10,2545,0
11,1655,0
11,1839,0
11,1570,1
12,2661,0
12,1001,0
12,1318,0
12,2662,0
12,665,1
13,1810,0
13,1701,0
14,2034,0
14,2075,0
14,158,0
14,2077,0
14,2668,0
15,2367,0
15,1093,0
15,1090,0
15,1271,0
15,2628,1
15,1684,1
16,2444,0
16,1632,0
16,970,0
16,2642,0
17,24,0
17,2140,0
17,1316,0
17,1315,0
17,927,0
18,2082,0
18,139,0
18,1786,0
18,1560,0
18,2145,0
18,107,1
19,1939,0
19,1148,1
20,1072,0
20,2374,0
20,2375,0
20,2269,0
20,2270,0
21,1043,0
21,2310,0
22,1703,0
22,1702,0
22,2238,0
22,39,0
22,1234,0
23,2159,0
23,2009,1
24,1701,0
24,2139,0
24,1636,0
24,2141,0
24,598,0
24,201,0
25,1344,0
25,2011,0
25,1301,0
25,2317,0
26,2454,0
26,2455,0
26,123,0
26,99,0
26,122,0
26,867,1
27,1810,0
27,606,0
27,2360,0
27,2578,0
28,1687,0
28,1922,1
29,963,0
29,2645,0
30,1358,0
30,1416,0
30,2162,0
30,697,0
30,2343,0
30,738,0
31,1594,0
31,739,1
31,1132,1
31,1694,1
31,317,1
32,1973,0
32,279,0
32,518,0
32,1850,0
33,2119,0
33,911,0
33,588,0
33,1051,0
33,2120,0
33,286,0
33,2040,0
33,2121,0
33,698,0
34,1358,0
35,1296,0
35,1913,0
35,895,0
35,1042,1
36,1146,0
36,1640,0
36,1505,0
36,2106,0
36,1781,0
36,2094,0
36,1552,0
36,2107,0
36,393,1
37,2427,0
37,1190,0
37,60,0
37,1642,1
38,429,0
38,1160,0
38,862,0
38,863,0
39,1634,0
39,1965,0
39,1349,0
39,1532,0
39,1522,0
39,2357,0
40,507,0
